source,file,path,year,month,date
Sentinel-2,sentinel2_monthly_2018_12.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2018_12.tif,2018,12,2018-12-01
Sentinel-2,sentinel2_monthly_2019_01.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2019_01.tif,2019,1,2019-01-01
Sentinel-2,sentinel2_monthly_2019_02.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2019_02.tif,2019,2,2019-02-01
Sentinel-2,sentinel2_monthly_2019_03.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2019_03.tif,2019,3,2019-03-01
Sentinel-2,sentinel2_monthly_2019_04.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2019_04.tif,2019,4,2019-04-01
Sentinel-2,sentinel2_monthly_2019_05.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2019_05.tif,2019,5,2019-05-01
Sentinel-2,sentinel2_monthly_2019_06.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2019_06.tif,2019,6,2019-06-01
Sentinel-2,sentinel2_monthly_2019_07.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2019_07.tif,2019,7,2019-07-01
Sentinel-2,sentinel2_monthly_2019_08.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2019_08.tif,2019,8,2019-08-01
Sentinel-2,sentinel2_monthly_2019_09.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2019_09.tif,2019,9,2019-09-01
Sentinel-2,sentinel2_monthly_2019_10.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2019_10.tif,2019,10,2019-10-01
Sentinel-2,sentinel2_monthly_2019_11.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2019_11.tif,2019,11,2019-11-01
Sentinel-2,sentinel2_monthly_2019_12.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2019_12.tif,2019,12,2019-12-01
Sentinel-2,sentinel2_monthly_2020_01.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2020_01.tif,2020,1,2020-01-01
Sentinel-2,sentinel2_monthly_2020_02.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2020_02.tif,2020,2,2020-02-01
Sentinel-2,sentinel2_monthly_2020_03.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2020_03.tif,2020,3,2020-03-01
Sentinel-2,sentinel2_monthly_2020_04.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2020_04.tif,2020,4,2020-04-01
Sentinel-2,sentinel2_monthly_2020_05.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2020_05.tif,2020,5,2020-05-01
Sentinel-2,sentinel2_monthly_2020_06.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2020_06.tif,2020,6,2020-06-01
Sentinel-2,sentinel2_monthly_2020_07.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2020_07.tif,2020,7,2020-07-01
Sentinel-2,sentinel2_monthly_2020_08.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2020_08.tif,2020,8,2020-08-01
Sentinel-2,sentinel2_monthly_2020_09.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2020_09.tif,2020,9,2020-09-01
Sentinel-2,sentinel2_monthly_2020_10.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2020_10.tif,2020,10,2020-10-01
Sentinel-2,sentinel2_monthly_2020_11.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2020_11.tif,2020,11,2020-11-01
Sentinel-2,sentinel2_monthly_2020_12.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2020_12.tif,2020,12,2020-12-01
Sentinel-2,sentinel2_monthly_2021_01.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2021_01.tif,2021,1,2021-01-01
Sentinel-2,sentinel2_monthly_2021_02.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2021_02.tif,2021,2,2021-02-01
Sentinel-2,sentinel2_monthly_2021_03.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2021_03.tif,2021,3,2021-03-01
Sentinel-2,sentinel2_monthly_2021_04.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2021_04.tif,2021,4,2021-04-01
Sentinel-2,sentinel2_monthly_2021_05.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2021_05.tif,2021,5,2021-05-01
Sentinel-2,sentinel2_monthly_2021_06.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2021_06.tif,2021,6,2021-06-01
Sentinel-2,sentinel2_monthly_2021_07.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2021_07.tif,2021,7,2021-07-01
Sentinel-2,sentinel2_monthly_2021_08.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2021_08.tif,2021,8,2021-08-01
Sentinel-2,sentinel2_monthly_2021_09.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2021_09.tif,2021,9,2021-09-01
Sentinel-2,sentinel2_monthly_2021_10.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2021_10.tif,2021,10,2021-10-01
Sentinel-2,sentinel2_monthly_2021_11.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2021_11.tif,2021,11,2021-11-01
Sentinel-2,sentinel2_monthly_2021_12.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2021_12.tif,2021,12,2021-12-01
Sentinel-2,sentinel2_monthly_2022_01.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2022_01.tif,2022,1,2022-01-01
Sentinel-2,sentinel2_monthly_2022_02.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2022_02.tif,2022,2,2022-02-01
Sentinel-2,sentinel2_monthly_2022_03.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2022_03.tif,2022,3,2022-03-01
Sentinel-2,sentinel2_monthly_2022_04.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2022_04.tif,2022,4,2022-04-01
Sentinel-2,sentinel2_monthly_2022_05.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2022_05.tif,2022,5,2022-05-01
Sentinel-2,sentinel2_monthly_2022_06.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2022_06.tif,2022,6,2022-06-01
Sentinel-2,sentinel2_monthly_2022_07.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2022_07.tif,2022,7,2022-07-01
Sentinel-2,sentinel2_monthly_2022_08.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2022_08.tif,2022,8,2022-08-01
Sentinel-2,sentinel2_monthly_2022_09.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2022_09.tif,2022,9,2022-09-01
Sentinel-2,sentinel2_monthly_2022_10.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2022_10.tif,2022,10,2022-10-01
Sentinel-2,sentinel2_monthly_2022_11.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2022_11.tif,2022,11,2022-11-01
Sentinel-2,sentinel2_monthly_2022_12.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2022_12.tif,2022,12,2022-12-01
Sentinel-2,sentinel2_monthly_2023_01.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2023_01.tif,2023,1,2023-01-01
Sentinel-2,sentinel2_monthly_2023_02.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2023_02.tif,2023,2,2023-02-01
Sentinel-2,sentinel2_monthly_2023_03.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2023_03.tif,2023,3,2023-03-01
Sentinel-2,sentinel2_monthly_2023_04.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2023_04.tif,2023,4,2023-04-01
Sentinel-2,sentinel2_monthly_2023_05.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2023_05.tif,2023,5,2023-05-01
Sentinel-2,sentinel2_monthly_2023_06.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2023_06.tif,2023,6,2023-06-01
Sentinel-2,sentinel2_monthly_2023_07.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2023_07.tif,2023,7,2023-07-01
Sentinel-2,sentinel2_monthly_2023_08.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2023_08.tif,2023,8,2023-08-01
Sentinel-2,sentinel2_monthly_2023_09.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2023_09.tif,2023,9,2023-09-01
Sentinel-2,sentinel2_monthly_2023_10.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2023_10.tif,2023,10,2023-10-01
Sentinel-2,sentinel2_monthly_2023_11.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2023_11.tif,2023,11,2023-11-01
Sentinel-2,sentinel2_monthly_2023_12.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2023_12.tif,2023,12,2023-12-01
Sentinel-2,sentinel2_monthly_2024_01.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2024_01.tif,2024,1,2024-01-01
Sentinel-2,sentinel2_monthly_2024_02.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2024_02.tif,2024,2,2024-02-01
Sentinel-2,sentinel2_monthly_2024_03.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2024_03.tif,2024,3,2024-03-01
Sentinel-2,sentinel2_monthly_2024_04.tif,GEE_Sentinel2_monthly_composites/sentinel2_monthly_2024_04.tif,2024,4,2024-04-01
