Nome: IRECE
Codigo Estacao: A424
Latitude: -11.32888888
Longitude: -41.86444444
Altitude: 768.42
Situacao: Operante
Data Inicial: 2008-03-30
Data Final: 2026-05-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-03-31;null;
2008-04-30;108.2;
2008-05-31;21;
2008-06-30;.6;
2008-07-31;0;
2008-08-31;2;
2008-09-30;0;
2008-10-31;.8;
2008-11-30;23;
2008-12-31;166.6;
2009-01-31;167.6;
2009-02-28;59.6;
2009-03-31;78.4;
2009-04-30;137;
2009-05-31;3.8;
2009-06-30;2.2;
2009-07-31;2.8;
2009-08-31;.2;
2009-09-30;.4;
2009-10-31;114.6;
2009-11-30;.6;
2009-12-31;66.6;
2010-01-31;109;
2010-02-28;42.2;
2010-03-31;210.4;
2010-04-30;92;
2010-05-31;.4;
2010-06-30;.8;
2010-07-31;1.4;
2010-08-31;4;
2010-09-30;.4;
2010-10-31;81.6;
2010-11-30;43.4;
2010-12-31;151.4;
2011-01-31;65;
2011-02-28;66.8;
2011-03-31;102;
2011-04-30;10.8;
2011-05-31;1.4;
2011-06-30;0;
2011-07-31;.6;
2011-08-31;.4;
2011-09-30;0;
2011-10-31;55.4;
2011-11-30;23.6;
2011-12-31;167.6;
2012-01-31;51.6;
2012-02-29;77;
2012-03-31;.6;
2012-04-30;0;
2012-05-31;5.4;
2012-06-30;0;
2012-07-31;3.6;
2012-08-31;.4;
2012-09-30;0;
2012-10-31;0;
2012-11-30;123.4;
2012-12-31;35.2;
2013-01-31;134.6;
2013-02-28;0;
2013-03-31;14.2;
2013-04-30;null;
2013-05-31;null;
2013-06-30;1.4;
2013-07-31;1.6;
2013-08-31;0;
2013-09-30;1;
2013-10-31;15.6;
2013-11-30;113.4;
2013-12-31;253.4;
2014-01-31;1.2;
2014-02-28;14;
2014-03-31;18.4;
2014-04-30;58.2;
2014-05-31;10.2;
2014-06-30;null;
2014-07-31;3.4;
2014-08-31;2;
2014-09-30;0;
2014-10-31;17.8;
2014-11-30;115.8;
2014-12-31;63.4;
2015-01-31;26.4;
2015-02-28;122.6;
2015-03-31;9.8;
2015-04-30;64.2;
2015-05-31;4;
2015-06-30;3;
2015-07-31;2.2;
2015-08-31;.6;
2015-09-30;0;
2015-10-31;.2;
2015-11-30;28.4;
2015-12-31;21.8;
2016-01-31;259.4;
2016-02-29;1.6;
2016-03-31;3.6;
2016-04-30;.6;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;7.2;
2016-09-30;10.4;
2016-10-31;47.6;
2016-11-30;51.2;
2016-12-31;13;
2017-01-31;17.4;
2017-02-28;55.4;
2017-03-31;52;
2017-04-30;41.8;
2017-05-31;.6;
2017-06-30;1.2;
2017-07-31;1.6;
2017-08-31;0;
2017-09-30;.4;
2017-10-31;0;
2017-11-30;69.2;
2017-12-31;59.6;
2018-01-31;10.2;
2018-02-28;81.6;
2018-03-31;81.6;
2018-04-30;6.6;
2018-05-31;6;
2018-06-30;0;
2018-07-31;0;
2018-08-31;.4;
2018-09-30;0;
2018-10-31;9.8;
2018-11-30;35.6;
2018-12-31;136.8;
2019-01-31;25.4;
2019-02-28;44.4;
2019-03-31;123.4;
2019-04-30;71.6;
2019-05-31;11;
2019-06-30;.8;
2019-07-31;8.2;
2019-08-31;1.2;
2019-09-30;2.6;
2019-10-31;34.6;
2019-11-30;16.4;
2019-12-31;25.6;
2020-01-31;154.8;
2020-02-29;31;
2020-03-31;230;
2020-04-30;98.6;
2020-05-31;.4;
2020-06-30;9.2;
2020-07-31;2;
2020-08-31;.4;
2020-09-30;1.4;
2020-10-31;61.8;
2020-11-30;279;
2020-12-31;0;
2021-01-31;20;
2021-02-28;83;
2021-03-31;4.8;
2021-04-30;85;
2021-05-31;.6;
2021-06-30;0;
2021-07-31;0;
2021-08-31;0;
2021-09-30;0;
2021-10-31;81.8;
2021-11-30;201.8;
2021-12-31;304;
2022-01-31;121;
2022-02-28;5.8;
2022-03-31;24.6;
2022-04-30;5.4;
2022-05-31;.8;
2022-06-30;0;
2022-07-31;0;
2022-08-31;0;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;
2023-01-31;null;
2023-02-28;null;
2023-03-31;null;
2023-04-30;null;
2023-05-31;null;
2023-06-30;null;
2023-07-31;null;
2023-08-31;null;
2023-09-30;null;
2023-10-31;null;
2023-11-30;null;
2023-12-31;null;
2024-01-31;null;
2024-02-29;null;
2024-03-31;null;
2024-04-30;null;
2024-05-31;.2;
2024-06-30;.6;
2024-07-31;0;
2024-08-31;0;
2024-09-30;0;
2024-10-31;16.2;
2024-11-30;47.8;
2024-12-31;7.8;
2025-01-31;149.4;
2025-02-28;0;
2025-03-31;3.4;
2025-04-30;40.8;
2025-05-31;5.2;
2025-06-30;.4;
2025-07-31;0;
2025-08-31;0;
2025-09-30;0;
2025-10-31;103.6;
2025-11-30;62;
2025-12-31;57.2;
2026-01-31;156.4;
2026-02-28;166.8;
2026-03-31;168.6;
2026-04-30;10.4;
2026-05-31;4.4;

